Brand,BrandLogin,BrandPassword,DeviceIP,ActivationID,ActivationPassword,CustomerName,Email,EmailDomain,FirstName,LastName,StreetAddress,Industry,City,State,Zip,Country,AddContact,Reports-ReportType,Reports-ReportFormat,Reports-Customer,Reports-CoverPageNotes,Reports-PartneredCustomers,Reports-NonPartneredCustomers,Reports-ConnectionSummary,Reports-CustomerAddress,Reports-CustomerContacts,Reports-DeviceCategories,Reports-DeviceSummary,Reports-DeviceDetails,Reports-MarketShare,Reports-Severity,Reports-EmergencyEvents,Reports-AlertEvents,Reports-CriticalEvents,Reports-ErrorEvents,Reports-WarningEvents,Reports-NoticeEvents,Reports-InformationalEvents,Reports-EventHistoryEventGlossary,Reports-CustomerInformation,Reports-DeviceStatus,Reports-InternetConnectivity,Reports-MonitoredNetwork,Reports-NetworkEvents,Reports-TransmittedNotificationEvents,Reports-InhibitedNotificationEvents,Reports-RetransmittedNotificationEvents,Reports-NotificationHistoryEventGlossary,Reports-Frequency,Reports-StartDate,Reports-EndDate,Reports-ScheduleStartDate,Reports-ScheduleEndDate,Reports-Notify,Reports-ReportRecipient,Reports-RecipientEmail,Reports-RecipientEmailDomain,Reports-EmailMessage
,,,192.168.111.12,80299.361,123123,uc111,c11,@www.qa7.l1.cisco.com,k,a,Street111,k,City111,State111,75082-111,USA,yes,Customer Inventory,XHTML,UC 111,Customer Inventory xhtml - 111,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,k a (UC 111),c11,@www.qa7.l1.cisco.com,report inventory xhtml 111
,,,192.168.112.21,89215.361,123123,uc112,c12,@www.qa7.l1.cisco.com,l,a,Street112,l,City112,State112,75082-112,USA,yes,Customer Inventory,XHTML,UC 112,Customer Inventory xhtml - 112,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,l a (UC 112),c12,@www.qa7.l1.cisco.com,report inventory xhtml 112
,,,192.168.113.21,26033.361,123123,uc113,c13,@www.qa7.l1.cisco.com,m,a,Street113,m,City113,State113,75082-113,USA,yes,Customer Inventory,XHTML,UC 113,Customer Inventory xhtml - 113,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,m a (UC 113),c13,@www.qa7.l1.cisco.com,report inventory xhtml 113
,,,192.168.114.40,1991.361,123123,uc114,c14,@www.qa7.l1.cisco.com,n,a,Street114,n,City114,State114,75082-114,USA,yes,Customer Inventory,XHTML,UC 114,Customer Inventory xhtml - 114,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,n a (UC 114),c14,@www.qa7.l1.cisco.com,report inventory xhtml 114
,,,192.168.115.110,35202.361,123123,uc115,c15,@www.qa7.l1.cisco.com,o,a,Street115,o,City115,State115,75082-115,USA,yes,Customer Inventory,XHTML,UC 115,Customer Inventory xhtml - 115,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,o a (UC 115),c15,@www.qa7.l1.cisco.com,report inventory xhtml 115
,,,192.168.116.210,26339.361,123123,uc116,c16,@www.qa7.l1.cisco.com,p,a,Street116,p,City116,State116,75082-116,USA,yes,Customer Inventory,XHTML,UC 116,Customer Inventory xhtml - 116,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,p a (UC 116),c16,@www.qa7.l1.cisco.com,report inventory xhtml 116
,,,192.168.117.111,76974.361,123123,uc117,c17,@www.qa7.l1.cisco.com,q,a,Street117,q,City117,State117,75082-117,USA,yes,Customer Inventory,XHTML,UC 117,Customer Inventory xhtml - 117,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,q a (UC 117),c17,@www.qa7.l1.cisco.com,report inventory xhtml 117
,,,192.168.118.85,25540.361,123123,uc118,c18,@www.qa7.l1.cisco.com,r,a,Street118,r,City118,State118,75082-118,USA,yes,Customer Inventory,XHTML,UC 118,Customer Inventory xhtml - 118,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,r a (UC 118),c18,@www.qa7.l1.cisco.com,report inventory xhtml 118
,,,192.168.119.118,95507.361,123123,uc119,c19,@www.qa7.l1.cisco.com,s,a,Street119,s,City119,State119,75082-119,USA,yes,Customer Inventory,XHTML,UC 119,Customer Inventory xhtml - 119,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,s a (UC 119),c19,@www.qa7.l1.cisco.com,report inventory xhtml 119
,,,192.168.120.154,65089.361,123123,uc120,c20,@www.qa7.l1.cisco.com,t,a,Street120,t,City120,State120,75082-120,USA,yes,Customer Inventory,XHTML,UC 120,Customer Inventory xhtml - 120,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,t a (UC 120),c20,@www.qa7.l1.cisco.com,report inventory xhtml 120
,,,192.168.121.12,62087.361,123123,uc121,c21,@www.qa7.l1.cisco.com,u,a,Street121,u,City121,State121,75082-121,USA,yes,Customer Inventory,XHTML,UC 121,Customer Inventory xhtml - 121,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,u a (UC 121),c21,@www.qa7.l1.cisco.com,report inventory xhtml 121
,,,192.168.122.12,20942.361,123123,uc122,c22,@www.qa7.l1.cisco.com,v,a,Street122,v,City122,State122,75082-122,USA,yes,Customer Inventory,XHTML,UC 122,Customer Inventory xhtml - 122,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,v a (UC 122),c22,@www.qa7.l1.cisco.com,report inventory xhtml 122
,,,192.168.123.26,97787.361,123123,uc123,c23,@www.qa7.l1.cisco.com,w,a,Street123,w,City123,State123,75082-123,USA,yes,Customer Inventory,XHTML,UC 123,Customer Inventory xhtml - 123,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,w a (UC 123),c23,@www.qa7.l1.cisco.com,report inventory xhtml 123
,,,192.168.124.79,45982.361,123123,uc124,c24,@www.qa7.l1.cisco.com,x,a,Street124,x,City124,State124,75082-124,USA,yes,Customer Inventory,XHTML,UC 124,Customer Inventory xhtml - 124,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,x a (UC 124),c24,@www.qa7.l1.cisco.com,report inventory xhtml 124
,,,192.168.125.32,99081.361,123123,uc125,c25,@www.qa7.l1.cisco.com,y,a,Street125,y,City125,State125,75082-125,USA,yes,Customer Inventory,XHTML,UC 125,Customer Inventory xhtml - 125,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,y a (UC 125),c25,@www.qa7.l1.cisco.com,report inventory xhtml 125
,,,192.168.126.33,21166.361,123123,uc126,c26,@www.qa7.l1.cisco.com,z,a,Street126,z,City126,State126,75082-126,USA,yes,Customer Inventory,XHTML,UC 126,Customer Inventory xhtml - 126,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,z a (UC 126),c26,@www.qa7.l1.cisco.com,report inventory xhtml 126
,,,192.168.127.64,37092.361,123123,uc127,c27,@www.qa7.l1.cisco.com,a,aa,Street127,a,City127,State127,75082-127,USA,yes,Customer Inventory,XHTML,UC 127,Customer Inventory xhtml - 127,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,a aa (UC 127),c27,@www.qa7.l1.cisco.com,report inventory xhtml 127
,,,192.168.128.109,21133.361,123123,uc128,c28,@www.qa7.l1.cisco.com,b,aa,Street128,b,City128,State128,75082-128,USA,yes,Customer Inventory,XHTML,UC 128,Customer Inventory xhtml - 128,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,b aa (UC 128),c28,@www.qa7.l1.cisco.com,report inventory xhtml 128
,,,192.168.129.12,97670.361,123123,uc129,c29,@www.qa7.l1.cisco.com,c,aa,Street129,c,City129,State129,75082-129,USA,yes,Customer Inventory,XHTML,UC 129,Customer Inventory xhtml - 129,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,c aa (UC 129),c29,@www.qa7.l1.cisco.com,report inventory xhtml 129
,,,192.168.130.12,87091.361,123123,uc130,c30,@www.qa7.l1.cisco.com,d,aa,Street130,d,City130,State130,75082-130,USA,yes,Customer Inventory,XHTML,UC 130,Customer Inventory xhtml - 130,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,d aa (UC 130),c30,@www.qa7.l1.cisco.com,report inventory xhtml 130
,,,192.168.131.12,49317.361,123123,uc131,c31,@www.qa7.l1.cisco.com,e,aa,Street131,e,City131,State131,75082-131,USA,yes,Customer Inventory,XHTML,UC 131,Customer Inventory xhtml - 131,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,e aa (UC 131),c31,@www.qa7.l1.cisco.com,report inventory xhtml 131
,,,192.168.132.218,99765.361,123123,uc132,c32,@www.qa7.l1.cisco.com,f,aa,Street132,f,City132,State132,75082-132,USA,yes,Customer Inventory,XHTML,UC 132,Customer Inventory xhtml - 132,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,f aa (UC 132),c32,@www.qa7.l1.cisco.com,report inventory xhtml 132
,,,192.168.133.15,18722.361,123123,uc133,c33,@www.qa7.l1.cisco.com,g,aa,Street133,g,City133,State133,75082-133,USA,yes,Customer Inventory,XHTML,UC 133,Customer Inventory xhtml - 133,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,g aa (UC 133),c33,@www.qa7.l1.cisco.com,report inventory xhtml 133
,,,192.168.134.66,49301.361,123123,uc134,c34,@www.qa7.l1.cisco.com,h,aa,Street134,h,City134,State134,75082-134,USA,yes,Customer Inventory,XHTML,UC 134,Customer Inventory xhtml - 134,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,h aa (UC 134),c34,@www.qa7.l1.cisco.com,report inventory xhtml 134
,,,192.168.135.91,85693.361,123123,uc135,c35,@www.qa7.l1.cisco.com,i,aa,Street135,i,City135,State135,75082-135,USA,yes,Customer Inventory,XHTML,UC 135,Customer Inventory xhtml - 135,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,i aa (UC 135),c35,@www.qa7.l1.cisco.com,report inventory xhtml 135
,,,192.168.136.66,61477.361,123123,uc136,c36,@www.qa7.l1.cisco.com,j,aa,Street136,j,City136,State136,75082-136,USA,yes,Customer Inventory,XHTML,UC 136,Customer Inventory xhtml - 136,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,j aa (UC 136),c36,@www.qa7.l1.cisco.com,report inventory xhtml 136
,,,192.168.137.12,86079.361,123123,uc137,c37,@www.qa7.l1.cisco.com,k,aa,Street137,k,City137,State137,75082-137,USA,yes,Customer Inventory,XHTML,UC 137,Customer Inventory xhtml - 137,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,k aa (UC 137),c37,@www.qa7.l1.cisco.com,report inventory xhtml 137
,,,192.168.138.149,25615.361,123123,uc138,c38,@www.qa7.l1.cisco.com,l,aa,Street138,l,City138,State138,75082-138,USA,yes,Customer Inventory,XHTML,UC 138,Customer Inventory xhtml - 138,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,l aa (UC 138),c38,@www.qa7.l1.cisco.com,report inventory xhtml 138
,,,192.168.139.194,82569.361,123123,uc139,c39,@www.qa7.l1.cisco.com,m,aa,Street139,m,City139,State139,75082-139,USA,yes,Customer Inventory,XHTML,UC 139,Customer Inventory xhtml - 139,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,m aa (UC 139),c39,@www.qa7.l1.cisco.com,report inventory xhtml 139
,,,192.168.140.12,61777.361,123123,uc140,c40,@www.qa7.l1.cisco.com,n,aa,Street140,n,City140,State140,75082-140,USA,yes,Customer Inventory,XHTML,UC 140,Customer Inventory xhtml - 140,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,n aa (UC 140),c40,@www.qa7.l1.cisco.com,report inventory xhtml 140
,,,192.168.141.143,81900.361,123123,uc141-wap,c41,@www.qa7.l1.cisco.com,o,aa,Street141,o,City141,State141,75082-141,USA,yes,Customer Inventory,XHTML,UC 141,Customer Inventory xhtml - 141,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,o aa (UC 141),c41,@www.qa7.l1.cisco.com,report inventory xhtml 141
,,,192.168.142.12,84720.361,123123,uc142,c42,@www.qa7.l1.cisco.com,p,aa,Street142,p,City142,State142,75082-142,USA,yes,Customer Inventory,XHTML,UC 142,Customer Inventory xhtml - 142,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,p aa (UC 142),c42,@www.qa7.l1.cisco.com,report inventory xhtml 142
,,,192.168.143.12,78551.361,123123,uc143-waps,c43,@www.qa7.l1.cisco.com,q,aa,Street143,q,City143,State143,75082-143,USA,yes,Customer Inventory,XHTML,UC 143,Customer Inventory xhtml - 143,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,q aa (UC 143),c43,@www.qa7.l1.cisco.com,report inventory xhtml 143
,,,192.168.144.161,85070.361,123123,uc144-wap,c44,@www.qa7.l1.cisco.com,r,aa,Street144,r,City144,State144,75082-144,USA,yes,Customer Inventory,XHTML,UC 144,Customer Inventory xhtml - 144,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,r aa (UC 144),c44,@www.qa7.l1.cisco.com,report inventory xhtml 144
,,,192.168.145.12,27284.361,123123,uc145,c45,@www.qa7.l1.cisco.com,s,aa,Street145,s,City145,State145,75082-145,USA,yes,Customer Inventory,XHTML,UC 145,Customer Inventory xhtml - 145,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,s aa (UC 145),c45,@www.qa7.l1.cisco.com,report inventory xhtml 145
,,,192.168.146.63,87915.361,123123,uc146,c46,@www.qa7.l1.cisco.com,t,aa,Street146,t,City146,State146,75082-146,USA,yes,Customer Inventory,XHTML,UC 146,Customer Inventory xhtml - 146,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,t aa (UC 146),c46,@www.qa7.l1.cisco.com,report inventory xhtml 146
,,,192.168.147.144,60067.361,123123,uc147,c47,@www.qa7.l1.cisco.com,u,aa,Street147,u,City147,State147,75082-147,USA,yes,Customer Inventory,XHTML,UC 147,Customer Inventory xhtml - 147,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,u aa (UC 147),c47,@www.qa7.l1.cisco.com,report inventory xhtml 147
,,,192.168.148.157,4554.361,123123,uc148,c48,@www.qa7.l1.cisco.com,v,aa,Street148,v,City148,State148,75082-148,USA,yes,Customer Inventory,XHTML,UC 148,Customer Inventory xhtml - 148,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,v aa (UC 148),c48,@www.qa7.l1.cisco.com,report inventory xhtml 148
,,,192.168.149.42,90403.361,123123,uc149,c49,@www.qa7.l1.cisco.com,w,aa,Street149,w,City149,State149,75082-149,USA,yes,Customer Inventory,XHTML,UC 149,Customer Inventory xhtml - 149,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,w aa (UC 149),c49,@www.qa7.l1.cisco.com,report inventory xhtml 149
,,,192.168.150.17,12895.361,123123,uc150,c50,@www.qa7.l1.cisco.com,x,aa,Street150,x,City150,State150,75082-150,USA,yes,Customer Inventory,XHTML,UC 150,Customer Inventory xhtml - 150,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Every Day,4/29/2011,4/27/2011,4/29/2011,No end Date,yes,x aa (UC 150),c50,@www.qa7.l1.cisco.com,report inventory xhtml 150
